under: 8
finical: 1
Bad: 1
wretches: 3
did: 19
Withold: 1
die: 11
stocking: 1
down: 22
adder: 1
dialect: 1
rigor: 1
lym: 1
KENT: 156
wretched: 3
Confined: 1
divisions: 2
habit: 1
She: 14
added: 1
fears: 1
List: 1
seasons: 1
bird: 1
fastened: 1
guarded: 1
stray: 1
hewgh: 1
journey: 1
brows: 1
brown: 1
shoot: 1
straw: 4
Seek: 3
month: 2
occasions: 1
hideous: 2
Because: 3
forked: 1
terrors: 1
pawn: 2
expiration: 1
deserving: 2
Sit: 2
See: 4
distract: 1
bred: 2
courtezan: 1
colours: 5
beggarly: 1
whore: 4
expectation: 1
back: 12
worthy: 1
rather: 10
title: 2
Tucket: 2
With: 31
Lady: 2
mist: 1
sheets: 2
papers: 1
foppish: 1
villages: 1
company: 4
pound: 1
bite: 2
sways: 1
Scythian: 1
custom: 1
inch: 1
length: 1
SCENE: 27
stirs: 2
crazed: 1
abode: 1
hours: 3
babe: 1
apprehend: 2
prince: 5
inherit: 1
fiend: 19
Wise: 1
blanket: 1
conceals: 1
mire: 1
beach: 1
cozener: 1
dearer: 3
grant: 1
qualified: 2
rememberest: 1
brothers: 1
knots: 1
relish: 1
thick: 1
cadent: 1
curst: 1
stale: 1
verity: 1
division: 3
Despite: 2
Your: 20
Effects: 1
fools: 5
arraign: 2
dearly: 1
kindness: 3
text: 1
houseless: 2
benison: 2
Spake: 1
sense: 5
hoping: 1
field: 4
being: 15
contents: 3
virtuous: 1
served: 2
legitimate: 4
made: 20
serves: 1
dog: 12
plucks: 1
thief: 3
tailor: 3
skin: 1
Sir: 21
curse: 4
Even: 1
whirlipool: 1
letters: 9
bags: 1
counterfeiting: 1
skip: 2
brewers: 1
stamp: 1
fear: 16
grudge: 1
herald: 5
nurse: 1
mad: 18
store: 1
brim: 1
Gentle: 1
map: 1
leisure: 2
travell: 2
man: 81
mar: 5
twenty: 6
worthier: 1
stand: 18
lacks: 1
forward: 1
knows: 4
bless: 3
meiny: 1
blest: 2
Bid: 4
princes: 2
lendings: 1
spectacles: 1
besort: 1
discreet: 1
subject: 3
feet: 2
bandy: 2
Loyal: 1
perjured: 1
feel: 10
pity: 10
use: 14
obscured: 1
tithing: 2
peascod: 1
warlike: 1
nursing: 1
revenue: 4
monopoly: 1
CURAN: 6
Hearty: 1
alter: 1
maid: 4
cries: 2
waste: 1
likes: 1
syllable: 1
comedy: 1
bearing: 2
numb: 1
credit: 1
poisoned: 1
dry: 3
messengers: 2
terrible: 2
Fairest: 1
woes: 2
attaint: 1
Arms: 1
dst: 2
becomes: 1
Behold: 2
twas: 3
Unhappy: 1
stain: 1
breath: 7
lists: 1
conceive: 1
Obey: 1
usurers: 1
bald: 1
men: 16
hither: 15
make: 46
thunderbolts: 1
attempting: 1
crime: 1
lying: 1
met: 6
wicked: 3
Parted: 1
known: 11
Methought: 1
opposed: 2
speeches: 2
Necessity: 1
stake: 2
justification: 1
Decline: 1
due: 4
beloved: 3
worthied: 1
may: 45
invention: 1
lodge: 1
Burn: 1
unseal: 1
mercy: 5
inform: 6
dearth: 1
about: 11
commit: 2
depend: 1
maledictions: 1
cure: 2
sorrow: 7
Croak: 1
character: 2
Must: 5
meaning: 2
ingratitude: 2
sizes: 1
whining: 1
brow: 1
oppressed: 1
happier: 1
above: 5
stick: 2
scornful: 1
tales: 2
yourselves: 1
curs: 1
waked: 3
untented: 1
height: 1
murmuring: 1
injunction: 1
breaches: 1
erlook: 1
received: 5
myself: 10
Instantly: 1
Smile: 1
clotpoll: 1
beaten: 2
malt: 1
balm: 2
foulness: 1
animal: 1
Centaurs: 1
quality: 7
singing: 2
miscreant: 1
invested: 1
believe: 3
shelter: 1
Pushes: 1
benefit: 1
miscarried: 1
long: 13
Horrible: 1
fell: 5
boots: 1
glance: 1
into: 18
womb: 1
sincere: 1
remember: 6
Ajax: 1
stiff: 1
confirm: 1
But: 50
nought: 2
middle: 4
prosper: 3
star: 3
mix: 1
danger: 6
childhood: 1
bans: 2
waking: 1
cuts: 1
wolf: 4
though: 15
puissant: 1
reverend: 2
conjuring: 1
Spare: 1
appear: 7
threats: 1
open: 4
suffering: 1
vurther: 1
valour: 2
wool: 1
Acquaint: 1
invest: 1
deniest: 1
nakedness: 1
tread: 1
loop: 1
seeks: 1
seven: 3
wood: 1
sever: 1
beard: 8
kennel: 1
darker: 1
First: 7
GLOUCESTER: 143
bark: 3
bears: 3
bare: 5
wont: 2
felt: 3
look: 16
conquest: 1
gentlewoman: 1
wenches: 1
farewell: 9
flying: 1
converse: 1
Vaunt: 1
forces: 1
allow: 2
childed: 1
monkeys: 1
needed: 1
fortnight: 1
composition: 2
proper: 1
knocks: 1
Time: 1
carbonado: 1
bitter: 4
slain: 3
beast: 3
Attendants: 8
stocks: 11
common: 3
precipitating: 1
sleeps: 2
speed: 3
apple: 1
allot: 1
Late: 1
Safer: 1
Wast: 1
interess: 1
interest: 1
apply: 1
Burning: 1
mare: 1
heavenly: 2
patron: 2
themselves: 5
money: 4
Neither: 1
Infect: 1
beats: 1
step: 2
politician: 1
temperance: 1
revolt: 1
mark: 4
Till: 5
base: 8
richer: 2
whole: 1
wrinkles: 1
Beware: 1
Camelot: 1
squires: 1
cozen: 1
Maugre: 1
lost: 7
uncaught: 1
pestilent: 1
still: 23
stealth: 2
loss: 1
profits: 1
worm: 2
fickle: 1
spotted: 1
dizzy: 1
beastly: 1
work: 5
packs: 1
stay: 7
bawds: 1
Child: 1
Tigers: 1
among: 3
mate: 2
beams: 1
gorge: 1
many: 12
word: 13
wore: 1
tongue: 5
Trumpet: 1
Cordelia: 22
love: 50
saucily: 2
Smite: 1
enjoy: 3
slave: 13
ourselves: 1
mutinies: 1
throwing: 1
stile: 1
queasy: 1
eat: 3
believed: 1
lose: 6
invades: 1
hang: 3
confederacy: 1
Nero: 1
bawd: 1
loud: 1
Singe: 1
bridges: 1
sting: 1
reward: 2
haste: 4
repent: 1
ebb: 1
opinion: 3
degenerate: 1
aged: 3
Doctor: 12
Avaunt: 1
soldier: 1
Tray: 1
hasty: 1
altogether: 3
stir: 2
stink: 1
voice: 5
gored: 1
devour: 1
knapped: 1
prepared: 1
dimensions: 1
Flourish: 3
zwaggered: 1
pebbles: 1
craft: 1
pretence: 2
subdued: 2
Dismissing: 1
mysteries: 1
assaulted: 1
discover: 1
vex: 1
ear: 6
appointed: 1
Can: 2
thrust: 1
Allows: 1
coward: 3
mun: 1
spherical: 1
seems: 5
mum: 1
hotly: 1
sojourn: 3
weaves: 1
stol: 1
elder: 1
walking: 1
derogate: 1
enmity: 1
secret: 1
assurance: 2
Points: 1
Bear: 3
advantage: 1
riots: 2
unmannerly: 1
retinue: 1
Since: 4
grave: 3
beaks: 1
command: 3
hurtless: 1
whispered: 1
choler: 1
Ten: 1
toad: 2
Service: 1
egg: 4
fairs: 1
saved: 2
year: 4
hollowness: 2
desperate: 2
music: 2
hands: 6
leading: 1
anguish: 2
injuries: 3
near: 10
understanding: 1
dealing: 1
stop: 2
impetuous: 1
handy: 1
books: 1
basest: 3
detain: 1
humbled: 1
returns: 2
conception: 1
telling: 1
neat: 1
guess: 1
hill: 4
An: 7
beware: 1
Am: 2
Authority: 1
least: 6
The: 124
Juno: 1
pilferings: 1
Where: 25
cowish: 1
clamorous: 1
toward: 7
gazing: 1
sleep: 8
Been: 1
Beat: 1
Ay: 18
behavior: 1
antipathy: 1
At: 5
Takes: 1
descend: 1
gold: 2
Be: 16
naughty: 1
Thy: 20
As: 28
learn: 4
Alarum: 2
Mean: 1
By: 22
neck: 3
stung: 1
contains: 1
Putting: 1
Take: 12
main: 2
sweet: 9
Tis: 24
evidence: 1
Ch: 2
brothels: 1
Soldiers: 7
amity: 1
woeful: 1
sayest: 1
Monsieur: 1
impossibilities: 1
untuned: 1
bellyful: 1
fitness: 1
leave: 8
spring: 2
serpent: 3
gavest: 3
throwest: 1
kindle: 1
minds: 1
knave: 19
waterish: 1
elf: 1
need: 11
cruel: 3
faint: 1
hurricanoes: 1
provision: 3
surrender: 1
wrote: 2
discerning: 1
kindly: 1
mayst: 1
contemns: 1
gather: 1
Do: 23
risen: 1
Beweep: 1
hardly: 1
vexes: 1
often: 4
cocks: 1
private: 1
desperately: 1
tearing: 1
rises: 1
liest: 2
gates: 1
ride: 4
Looking: 1
companion: 1
winter: 1
vor: 2
Lipsbury: 1
forty: 1
engine: 1
stretch: 2
shouldst: 4
Laying: 1
Talk: 1
rich: 4
end: 5
wouldst: 5
special: 1
noted: 1
Hold: 4
praise: 2
exploit: 1
contempt: 2
vouch: 1
slightly: 1
shaft: 1
occupation: 1
moral: 1
betray: 1
swear: 6
called: 1
Go: 17
judge: 1
told: 9
lethargied: 1
ague: 1
crosses: 1
deservings: 1
darkness: 4
brave: 1
proceedings: 1
Ha: 8
contradict: 1
II: 9
tenderly: 1
nether: 2
Ho: 1
jovial: 1
nay: 1
shape: 5
Some: 8
wrathful: 1
graves: 1
Tom: 23
forth: 13
sweat: 1
If: 65
In: 30
weapons: 1
slew: 1
against: 18
Madam: 6
Inform: 2
Exeunt: 33
Flibbertigibbet: 2
Mend: 1
trespasses: 1
rights: 3
Is: 27
punished: 1
ere: 6
swell: 1
Meantime: 1
boasted: 1
stelled: 1
It: 19
tomb: 1
Lag: 1
slip: 1
During: 1
dawning: 1
shake: 7
Soon: 1
quench: 1
flies: 1
stored: 1
sharp: 3
Enough: 1
displeasure: 7
vow: 1
Rather: 1
turns: 3
whites: 1
undertake: 1
trial: 2
cotes: 1
disorders: 2
tameness: 1
dissolutions: 1
motley: 1
La: 1
new: 5
remedies: 1
below: 3
estate: 1
took: 6
shall: 85
undivulged: 1
shalt: 11
followers: 3
Truly: 1
greediness: 1
shame: 10
tribe: 1
detector: 1
nightingale: 1
lord: 97
endow: 1
ignobly: 1
spied: 1
My: 56
trick: 1
running: 2
Cry: 2
Canst: 2
Mere: 1
Propinquity: 1
Gallow: 1
coxcombs: 3
trice: 1
spies: 2
IV: 11
exalt: 1
Ne: 1
harder: 4
France: 22
manifest: 1
Denied: 1
relieve: 1
Led: 1
super: 1
Find: 2
